"initial_alias","converted_alias","name","description","namespace"
"TSPAN6","ENSG00000000003","TSPAN6","tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNMD","ENSG00000000005","TNMD","tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DPM1","ENSG00000000419","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCYL3","ENSG00000000457","SCYL3","SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1ORF112","ENSG00000000460","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FGR","ENSG00000000938","FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFH","ENSG00000000971","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FUCA2","ENSG00000001036","FUCA2","alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GCLC","ENSG00000001084","GCLC","glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NFYA","ENSG00000001167","NFYA","nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STPG1","ENSG00000001460","STPG1","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NIPAL3","ENSG00000001461","NIPAL3","NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAS1L","ENSG00000001497","LAS1L","LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ENPP4","ENSG00000001561","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SEMA3F","ENSG00000001617","SEMA3F","semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFTR","ENSG00000001626","CFTR","CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]","DBASS5,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKIB1","ENSG00000001629","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP51A1","ENSG00000001630","CYP51A1","cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
